Ticker,Annual Return,Annual Volatility,Sharpe (rf=0)
AAPL,0.2731406703261419,0.32294481081017906,0.8457812641141613
GOOGL,0.31478669779428203,0.32877303936190655,0.9574589765791938
MSFT,0.21316349264444667,0.30468921942312455,0.6996095662591353
RELIANCE.NS,0.1690991509430707,0.2856420972619903,0.5919966019153449
TCS.NS,0.09770054065650675,0.2457806764999835,0.3975110738883222
